trial,Reel 1,Reel 2,Reel 3,delta,estimate,newbalance,oldbalance,outcome,payout,wager
1,images/bell.png,images/bell.png,images/cherries.png,-1,NA,19,20,LOSS,0,1
2,images/bar.png,images/cherries.png,images/bell.png,-1,NA,18,19,LOSS,0,1
3,images/bell.png,images/gold_bullion.png,images/cherries.png,-1,NA,17,18,LOSS,0,1
4,images/chest.png,images/bell.png,images/bell.png,-1,NA,16,17,LOSS,0,1
5,images/chest.png,images/chest.png,images/bar.png,-1,NA,15,16,LOSS,0,1
6,images/cherries.png,images/bell.png,images/cherries.png,-1,NA,14,15,LOSS,0,1
7,images/bell.png,images/bar.png,images/bell.png,-1,NA,13,14,LOSS,0,1
8,images/chest.png,images/bar.png,images/bar.png,-1,NA,12,13,LOSS,0,1
9,images/bell.png,images/bell.png,images/bell.png,3.0,NA,15.0,12,WIN,3.0,1
10,images/gold_bullion.png,images/bell.png,images/cherries.png,-1,NA,14.0,15.0,LOSS,0,1
11,images/bell.png,images/cherries.png,images/bell.png,-1,NA,13.0,14.0,LOSS,0,1
12,images/bell.png,images/cherries.png,images/spacer.gif,-1,NA,12.0,13.0,LOSS,0,1
13,images/cherries.png,images/bell.png,images/bell.png,-1,NA,11.0,12.0,LOSS,0,1
14,images/cherries.png,images/bell.png,images/bar.png,-1,NA,10.0,11.0,LOSS,0,1
15,images/bell.png,images/chest.png,images/cherries.png,-1,NA,9.0,10.0,LOSS,0,1
16,images/bell.png,images/gold_bullion.png,images/chest.png,-1,NA,8.0,9.0,LOSS,0,1
17,images/cherries.png,images/bell.png,images/bell.png,-1,NA,7.0,8.0,LOSS,0,1
18,images/bell.png,images/gold_bullion.png,images/bell.png,-1,NA,6.0,7.0,LOSS,0,1
19,images/bell.png,images/chest.png,images/bar.png,-1,NA,5.0,6.0,LOSS,0,1
20,images/gold_bullion.png,images/chest.png,images/bar.png,-1,NA,4.0,5.0,LOSS,0,1
21,images/bell.png,images/bell.png,images/bar.png,-1,NA,3.0,4.0,LOSS,0,1
22,images/bell.png,images/cherries.png,images/chest.png,-1,NA,2.0,3.0,LOSS,0,1
23,images/gold_bullion.png,images/bell.png,images/bell.png,-1,NA,1.0,2.0,LOSS,0,1
24,images/cherries.png,images/cherries.png,images/bell.png,-1,NA,0.0,1.0,LOSS,0,1
